丁鲷	tench | Tinca tinca
金鱼	goldfish | Carassius auratus
大白鲨	great white shark | white shark | man-eater | man-eating shark | Carcharodon carcharias
虎鲨	tiger shark | Galeocerdo cuvieri
锤头鲨	hammerhead | hammerhead shark
电鳐	electric ray | crampfish | numbfish | torpedo
黄貂鱼	stingray
公鸡	cock
母鸡	hen
鸵鸟	ostrich | Struthio camelus
花鸡	brambling | Fringilla montifringilla
金翅雀	goldfinch | Carduelis carduelis
红麻雀	house finch | linnet | Carpodacus mexicanus
暗眼灯草鹀	junco | snowbird
靛蓝彩鹀	indigo bunting | indigo finch | indigo bird | Passerina cyanea
旅鸫	robin | American robin | Turdus migratorius
红耳鹎	bulbul
冠蓝鸦	jay
喜鹊	magpie
山雀	chickadee
美洲河乌	water ouzel | dipper
鸢	kite
秃头鹰	bald eagle | American eagle | Haliaeetus leucocephalus
秃鹫	vulture
大灰猫头鹰	great grey owl | great gray owl | Strix nebulosa
欧洲火蝾螈	European fire salamander | Salamandra salamandra
欧洲蝾螈	common newt | Triturus vulgaris
蝾螈	eft
斑点钝口螈	spotted salamander | Ambystoma maculatum
六角恐龙	axolotl | mud puppy | Ambystoma mexicanum
美国牛蛙	bullfrog | Rana catesbeiana
树蛙	tree frog | tree-frog
尾蟾	tailed frog | bell toad | ribbed toad | tailed toad | Ascaphus trui
红海龟	loggerhead | loggerhead turtle | Caretta caretta
棱皮龟	leatherback turtle | leatherback | leathery turtle | Dermochelys coriacea
东方动胸龟	mud turtle
钻纹龟	terrapin
箱龟	box turtle | box tortoise
豹紋壁虎	banded gecko
绿鬣蜥	common iguana | iguana | Iguana iguana
安禄蜥	American chameleon | anole | Anolis carolinensis
沙漠鞭尾蜥蜴	whiptail | whiptail lizard
彩虹鬣蜥	agama
伞蜥蜴	frilled lizard | Chlamydosaurus kingi
鳄蜥	alligator lizard
美國毒蜥	Gila monster | Heloderma suspectum
欧洲绿蜥蜴	green lizard | Lacerta viridis
变色龙	African chameleon | Chamaeleo chamaeleon
科莫多巨蜥	Komodo dragon | Komodo lizard | dragon lizard | giant lizard | Varanus komodoensis
尼罗鳄	African crocodile | Nile crocodile | Crocodylus niloticus
美国短吻鳄	American alligator | Alligator mississipiensis
三角龙	triceratops
钩盲蛇	thunder snake | worm snake | Carphophis amoenus
环颈蛇	ringneck snake | ring-necked snake | ring snake
猪鼻蛇	hognose snake | puff adder | sand viper
滑鳞绿树蛇	green snake | grass snake
王蛇	king snake | kingsnake
袜带蛇	garter snake | grass snake
水蛇	water snake
绿瘦蛇	vine snake
夜蛇	night snake | Hypsiglena torquata
紅尾蚺	boa constrictor | Constrictor constrictor
非洲岩蟒	rock python | rock snake | Python sebae
印度眼镜蛇	Indian cobra | Naja naja
绿曼巴蛇	green mamba
海蛇	sea snake
非洲角蝰蛇	horned viper | cerastes | sand viper | horned asp | Cerastes cornutus
东部菱背响尾蛇	diamondback | diamondback rattlesnake | Crotalus adamanteus
角响尾蛇	sidewinder | horned rattlesnake | Crotalus cerastes
三叶虫	trilobite
盲蜘蛛	harvestman | daddy longlegs | Phalangium opilio
蝎子	scorpion
黑金花园蜘蛛	black and gold garden spider | Argiope aurantia
谷仓蜘蛛	barn spider | Araneus cavaticus
十字园蛛	garden spider | Aranea diademata
